algorithm,1000.pth,2000.pth,best.pth
DQN,-151.48 ± 54.31,-162.16 ± 54.64,-128.63 ± 37.03
DoubleDQN,-180.48 ± 31.89,-97.87 ± 12.42,-119.00 ± 29.22
DuelingDQN,-97.27 ± 12.36,-109.08 ± 14.05,-106.67 ± 23.87
