algorithm,1000.pth,2000.pth,best.pth
DQN,495.00 ± 49.75,90.23 ± 12.56,495.00 ± 49.75
DoubleDQN,495.00 ± 49.75,164.29 ± 16.93,495.00 ± 49.75
DuelingDQN,195.13 ± 27.28,31.49 ± 69.56,495.00 ± 49.75
